0.40 --> 1.48:  ah, ayo
1.48 --> 4.04:  kakak ngilu, kakak ditunggilu
4.04 --> 6.04:  kakak diingilu, gitu ya
6.88 --> 8.88:  anjing, anjing
9.88 --> 11.88:  ngerem ya kanan
15.52 --> 17.52:  iya padahal kurang tadi gas, temenya, alohanjing
17.52 --> 21.20:  baju serangan
21.20 --> 22.64:  tunggu, tunggu, tunggu, pengen, pengen
22.64 --> 23.76:  pengen, si omong
23.76 --> 25.20:  pengen, si omong, maksudnya
30.94 --> 34.24:  mana dia?
34.24 --> 35.44:  udah goblok
35.44 --> 37.44:  udah, udah goblok
37.44 --> 39.04:  udah mati
39.04 --> 41.04:  udah, maaf
41.52 --> 43.52:  iya, dagingnya ngomong, dagingnya ngomong
43.52 --> 46.44:  iya, dagingnya ngomong
46.44 --> 48.44:  cuma tiga
48.44 --> 49.88:  tiga dagingnya
49.88 --> 63.24:  beruang, ayo mau bawa
63.24 --> 66.94:  kok udah dibawa kemana daging?
66.94 --> 68.94:  anjing
68.94 --> 70.94:  kenapa lu umpat, ben, di mobil, anjing
70.94 --> 72.94:  hehehe
72.94 --> 73.94:  ben?
73.94 --> 75.94:  oh, dagingnya kok udah dibawa ke si etana
75.94 --> 77.94:  yang dijual
77.94 --> 79.94:  8 sikit
79.94 --> 81.94:  bening?
81.94 --> 83.94:  orang jual langsung ke auksian, anjing
83.94 --> 85.94:  ah?
85.94 --> 87.94:  mega si EQ kemari
87.94 --> 88.94:  kan nggak ada orangnya?
88.94 --> 93.43:  Maya ada kemari?
93.43 --> 95.43:  50, Maya
95.43 --> 98.70:  50, ben
98.70 --> 100.70:  player lainnya sudah
100.70 --> 102.70:  untuk pergi ke auksian
102.70 --> 104.70:  marahal kuda, anjing
104.70 --> 107.90:  Saint Yos, kuda
107.90 --> 110.10:  itu marahal, kuda kena perebu, anjing
110.10 --> 119.37:  ga usah lah, kuda
119.37 --> 126.26:  ngak pokok, enjing, si ben
126.26 --> 128.26:  ayo tanaman orangnya, kan?
